suburb,sal_code,census_pop,irsad_score,irsad_decile,irsd_score,irsd_decile,ier_score,ier_decile,ieo_score,ieo_decile,median_age,median_household_income_weekly,median_family_income_weekly,median_mortgage_monthly,median_rent_weekly,avg_household_size,age_0_14_pct,age_25_44_pct,age_65_plus_pct,overseas_born_pct,non_english_home_pct,bachelor_plus_pct,unemployment_rate_pct,separate_house_pct,townhouse_pct,flat_apartment_pct,owner_occupier_pct,renter_pct,two_plus_cars_pct,house_median_2014,house_median_2019,house_median_2021,house_median_2024,house_median_prelim_2025,growth_5yr_19_24_pct,growth_3yr_21_24_pct,growth_14_24_pct,cagr_14_24_pct,criminal_incidents_2025,criminal_incidents_per_1000_2021_pop,crime_person_pct,crime_property_pct
Mill Park,SAL21683,28712,985.5,5,1001.9,5,1009.9,5,980.1,6,40,1735,1992,1748,366,2.7,15.5,27.3,15.9,36.1,42.0,46.8,5.9,87.7,9.8,2.5,74.8,22.8,65.0,430500,654000,740000,785000,790000,20.0,6.1,82,6.2,1328,46.3,17.0,66.0
Taylors Lakes,SAL22474,15174,1024.4,8,1039.8,7,1069.6,8,996.0,6,45,2164,2360,1800,411,3.0,14.0,20.7,17.0,32.8,39.1,46.7,4.7,89.9,9.6,0.5,86.2,9.7,75.6,510000,750000,883500,945000,910000,26.0,7.0,85,6.4,1044,68.8,10.1,77.6
Taylors Hill,SAL22473,15419,1025.5,8,1035.2,7,1091.1,9,994.9,6,35,2374,2383,2000,420,3.5,25.1,27.7,8.3,35.7,46.2,49.5,6.1,85.1,14.9,0.0,86.4,9.5,79.1,510000,702000,840000,885000,922000,26.1,5.4,74,5.7,310,20.1,19.0,61.9
Caroline Springs,SAL20500,24488,1012.1,7,1016.3,6,1039.1,6,1014.1,7,35,2134,2271,1950,400,3.1,22.9,28.6,8.4,40.8,45.5,52.2,6.3,90.0,7.4,2.7,75.1,22.2,69.3,460000,620000,720000,743500,710000,19.9,3.3,62,4.9,981,40.1,19.8,62.2
Highton,SAL21187,20736,1066.7,9,1074.5,9,1052.1,7,1074.3,9,39,2054,2533,2000,360,2.6,18.9,25.1,18.3,19.4,13.0,57.5,3.5,87.3,12.4,0.2,76.7,21.4,66.7,510000,690000,887000,863500,750000,25.1,-2.6,69,5.4,384,18.5,22.1,61.7
Belmont,SAL20201,15066,995.4,6,1014.0,5,958.7,2,1021.6,8,37,1517,2080,1703,350,2.3,17.2,30.5,18.8,17.0,11.1,52.6,4.6,77.7,18.1,0.9,62.8,35.1,50.9,362000,545000,730000,700000,670000,28.4,-4.1,93,6.8,983,65.2,17.6,58.3
Charlemont,SAL20533,2612,1035.2,8,1071.1,9,1048.1,7,1030.6,8,29,2102,2284,1733,415,2.5,19.6,44.3,6.8,18.4,16.8,45.9,2.3,97.8,1.8,0.0,70.4,28.4,68.1,,465000,628000,612000,580000,31.6,-2.5,,,219,83.8,12.3,70.8
